,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_25,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,25,25_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_26,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,26,26_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_27,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,27,27_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_28,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,28,28_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_29,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,29,29_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_30,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,30,30_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_31,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,31,31_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R-MPRA3-AP1134-26-Hippocampus_REF_Barcode_32,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,32,32_REF,REF,ZC101R-MPRA3-AP1134-26-Hippocampus_REF,AP1134_REF
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_1,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,1,1_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_2,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,2,2_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_3,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,3,3_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_4,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,4,4_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_5,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,5,5_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_6,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,6,6_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_7,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,7,7_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_8,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,8,8_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_9,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,9,9_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT_Barcode_10,Hippocampus,AAV.PHP.EB,,AP1134,M,ZC101R2-MPRA3-AP1134-26-Hippocampus,Brain,Brain,0,1,0,AP1134Hippocampus,10,10_ALT,ALT,ZC101R2-MPRA3-AP1134-26-Hippocampus_ALT,AP1134_ALT
