,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_7,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,7,7_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_8,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,8,8_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_9,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,9,9_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_10,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,10,10_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_11,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,11,11_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_12,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,12,12_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_13,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,13,13_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_14,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,14,14_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_15,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,15,15_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_16,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,16,16_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_17,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,17,17_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_18,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,18,18_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_19,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,19,19_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_20,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,20,20_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_21,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,21,21_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_22,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,22,22_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_23,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,23,23_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_24,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,24,24_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_25,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,25,25_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_26,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,26,26_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_27,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,27,27_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
ZC119-MPRA3-AP1120-26-LI_ALT_Barcode_28,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,28,28_ALT,ALT,ZC119-MPRA3-AP1120-26-LI_ALT,AP1120_ALT,Large_Intestine_ALT
