,Tissue,Delivery,Date,Animal,Test,Function,Parent,Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_HEK293T_ZC65_R_REF_Barcode_19,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,19,19_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_20,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,20,20_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_21,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,21,21_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_22,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,22,22_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_23,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,23,23_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_24,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,24,24_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_25,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,25,25_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_26,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,26,26_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_27,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,27,27_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC65_R_REF_Barcode_28,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC65_R,Control_cell,HEK293T,Column,28,28_REF,REF,Naive_HEK293T_ZC65_R_REF,HEK293T_REF,HEK293T_REF
