,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Neuron,Replicate,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_26,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,Neuron,1,1,Rep1_iPSCNeuron_ZC130_R,26,26_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_27,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,Neuron,1,1,Rep1_iPSCNeuron_ZC130_R,27,27_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_28,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,Neuron,1,1,Rep1_iPSCNeuron_ZC130_R,28,28_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_29,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,Neuron,1,1,Rep1_iPSCNeuron_ZC130_R,29,29_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_30,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,Neuron,1,1,Rep1_iPSCNeuron_ZC130_R,30,30_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_31,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,Neuron,1,1,Rep1_iPSCNeuron_ZC130_R,31,31_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep1_iPSCNeuron_ZC130_R_REF_Barcode_32,iPSCNeuron,MPRA,,Rep1,,Rep1_iPSCNeuron_ZC130_R,Neuron,Neuron,1,1,Rep1_iPSCNeuron_ZC130_R,32,32_REF,REF,Rep1_iPSCNeuron_ZC130_R_REF,Rep1_REF,iPSCNeuron_REF
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_1,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,1,1_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_2,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,2,2_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_3,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,3,3_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_4,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,4,4_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_5,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,5,5_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_6,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,6,6_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_7,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,7,7_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_8,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,8,8_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_9,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,9,9_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_10,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,10,10_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_11,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,11,11_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_12,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,12,12_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_13,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,13,13_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_14,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,14,14_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_15,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,15,15_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_16,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,16,16_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
Rep2_iPSCNeuron_ZC131_R_ALT_Barcode_17,iPSCNeuron,MPRA,,Rep2,,Rep2_iPSCNeuron_ZC131_R,Neuron,Neuron,1,2,Rep2_iPSCNeuron_ZC131_R,17,17_ALT,ALT,Rep2_iPSCNeuron_ZC131_R_ALT,Rep2_ALT,iPSCNeuron_ALT
