,Tissue,Delivery,Date,Animal,Test,Function,Parent,Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
Naive_HEK293T_ZC66_R_motif_Barcode_9,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,9,9otif,tif,Naive_HEK293T_ZC66_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC66_R_motif_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,10,10otif,tif,Naive_HEK293T_ZC66_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC66_R_motif_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,11,11otif,tif,Naive_HEK293T_ZC66_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC66_R_motif_Barcode_12,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,12,12otif,tif,Naive_HEK293T_ZC66_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC66_R_motif_Barcode_13,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,13,13otif,tif,Naive_HEK293T_ZC66_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC66_R_motif_Barcode_14,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,14,14otif,tif,Naive_HEK293T_ZC66_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC66_R_motif_Barcode_15,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,15,15otif,tif,Naive_HEK293T_ZC66_R_tif,HEK293T_tif,HEK293T_tif,motif
Naive_HEK293T_ZC66_R_ref_Barcode_1,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,1,1_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_2,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,2,2_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_3,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,3,3_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_4,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,4,4_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_5,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,5,5_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_6,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,6,6_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_7,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,7,7_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_8,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,8,8_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_9,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,9,9_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_10,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,10,10_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
Naive_HEK293T_ZC66_R_ref_Barcode_11,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,11,11_ref,ref,Naive_HEK293T_ZC66_R_ref,HEK293T_ref,HEK293T_ref,Allele
