,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_1,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,1,1alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_2,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,2,2alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_3,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,3,3alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_4,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,4,4alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_5,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,5,5alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_6,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,6,6alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_7,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,7,7alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_8,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,8,8alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_9,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,9,9alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
IFNB_HMC3Col_ZC74_R_alt2_Barcode_10,HMC3_IFNB,Fugene6,,HMC3,IFNB_HMC3Col_ZC74_R,Immune,HMC3_Microglia,1,0,0,0,1,10,10alt2,lt2,IFNB_HMC3Col_ZC74_R_lt2,HMC3_lt2,HMC3_IFNB_lt2,Allele
