,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,Striatum,Hippocampus,Cortex,RT_reaction,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC103-MPRA3-AP1120-26-Cortex_motif_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1otif,tif,ZC103R-MPRA3-AP1120-26-Cortex_tif,AP1120_tif,Cortex_tif,motif
ZC103-MPRA3-AP1120-26-Cortex_motif_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2otif,tif,ZC103R-MPRA3-AP1120-26-Cortex_tif,AP1120_tif,Cortex_tif,motif
ZC103-MPRA3-AP1120-26-Cortex_motif_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3otif,tif,ZC103R-MPRA3-AP1120-26-Cortex_tif,AP1120_tif,Cortex_tif,motif
ZC103-MPRA3-AP1120-26-Cortex_motif_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4otif,tif,ZC103R-MPRA3-AP1120-26-Cortex_tif,AP1120_tif,Cortex_tif,motif
ZC103-MPRA3-AP1120-26-Cortex_motif_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5otif,tif,ZC103R-MPRA3-AP1120-26-Cortex_tif,AP1120_tif,Cortex_tif,motif
ZC103-MPRA3-AP1120-26-Cortex_ref_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1_ref,ref,ZC103R-MPRA3-AP1120-26-Cortex_ref,AP1120_ref,Cortex_ref,Allele
ZC103-MPRA3-AP1120-26-Cortex_ref_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2_ref,ref,ZC103R-MPRA3-AP1120-26-Cortex_ref,AP1120_ref,Cortex_ref,Allele
ZC103-MPRA3-AP1120-26-Cortex_ref_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3_ref,ref,ZC103R-MPRA3-AP1120-26-Cortex_ref,AP1120_ref,Cortex_ref,Allele
ZC103-MPRA3-AP1120-26-Cortex_ref_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4_ref,ref,ZC103R-MPRA3-AP1120-26-Cortex_ref,AP1120_ref,Cortex_ref,Allele
ZC103-MPRA3-AP1120-26-Cortex_ref_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5_ref,ref,ZC103R-MPRA3-AP1120-26-Cortex_ref,AP1120_ref,Cortex_ref,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt1_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1alt1,lt1,ZC103R-MPRA3-AP1120-26-Cortex_lt1,AP1120_lt1,Cortex_lt1,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt1_Barcode_2,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,2,2alt1,lt1,ZC103R-MPRA3-AP1120-26-Cortex_lt1,AP1120_lt1,Cortex_lt1,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt1_Barcode_3,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,3,3alt1,lt1,ZC103R-MPRA3-AP1120-26-Cortex_lt1,AP1120_lt1,Cortex_lt1,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt1_Barcode_4,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,4,4alt1,lt1,ZC103R-MPRA3-AP1120-26-Cortex_lt1,AP1120_lt1,Cortex_lt1,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt1_Barcode_5,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,5,5alt1,lt1,ZC103R-MPRA3-AP1120-26-Cortex_lt1,AP1120_lt1,Cortex_lt1,Allele
ZC103-MPRA3-AP1120-26-Cortex_alt2_Barcode_1,Cortex,AAV-PHP-EB,,AP1120,F,ZC103R-MPRA3-AP1120-26-Cortex,Brain,Brain,0,0,1,AP1120Cortex,1,1alt2,lt2,ZC103R-MPRA3-AP1120-26-Cortex_lt2,AP1120_lt2,Cortex_lt2,Allele
