,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC117-MPRA3-AP1121-26-LI_alt2_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4alt2,lt2,ZC117-MPRA3-AP1121-26-LI_lt2,AP1121_lt2,Large_Intestine_lt2,Allele
ZC117-MPRA3-AP1121-26-LI_alt2_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5alt2,lt2,ZC117-MPRA3-AP1121-26-LI_lt2,AP1121_lt2,Large_Intestine_lt2,Allele
ZC117-MPRA3-AP1121-26-LI_alt3_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,1,1alt3,lt3,ZC117-MPRA3-AP1121-26-LI_lt3,AP1121_lt3,Large_Intestine_lt3,Allele
ZC117-MPRA3-AP1121-26-LI_alt3_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,2,2alt3,lt3,ZC117-MPRA3-AP1121-26-LI_lt3,AP1121_lt3,Large_Intestine_lt3,Allele
ZC117-MPRA3-AP1121-26-LI_alt3_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,3,3alt3,lt3,ZC117-MPRA3-AP1121-26-LI_lt3,AP1121_lt3,Large_Intestine_lt3,Allele
ZC117-MPRA3-AP1121-26-LI_alt3_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,4,4alt3,lt3,ZC117-MPRA3-AP1121-26-LI_lt3,AP1121_lt3,Large_Intestine_lt3,Allele
ZC117-MPRA3-AP1121-26-LI_alt3_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1121,F,ZC117-MPRA3-AP1121-26-LI,Gut,Gut,0,1,5,5alt3,lt3,ZC117-MPRA3-AP1121-26-LI_lt3,AP1121_lt3,Large_Intestine_lt3,Allele
ZC118-MPRA3-AP1120-26-SI_motif_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1otif,tif,ZC118-MPRA3-AP1120-26-SI_tif,AP1120_tif,Small_Intestine_tif,motif
ZC118-MPRA3-AP1120-26-SI_motif_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2otif,tif,ZC118-MPRA3-AP1120-26-SI_tif,AP1120_tif,Small_Intestine_tif,motif
ZC118-MPRA3-AP1120-26-SI_motif_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3otif,tif,ZC118-MPRA3-AP1120-26-SI_tif,AP1120_tif,Small_Intestine_tif,motif
ZC118-MPRA3-AP1120-26-SI_motif_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4otif,tif,ZC118-MPRA3-AP1120-26-SI_tif,AP1120_tif,Small_Intestine_tif,motif
ZC118-MPRA3-AP1120-26-SI_motif_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5otif,tif,ZC118-MPRA3-AP1120-26-SI_tif,AP1120_tif,Small_Intestine_tif,motif
ZC118-MPRA3-AP1120-26-SI_ref_Barcode_1,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,1,1_ref,ref,ZC118-MPRA3-AP1120-26-SI_ref,AP1120_ref,Small_Intestine_ref,Allele
ZC118-MPRA3-AP1120-26-SI_ref_Barcode_2,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,2,2_ref,ref,ZC118-MPRA3-AP1120-26-SI_ref,AP1120_ref,Small_Intestine_ref,Allele
ZC118-MPRA3-AP1120-26-SI_ref_Barcode_3,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,3,3_ref,ref,ZC118-MPRA3-AP1120-26-SI_ref,AP1120_ref,Small_Intestine_ref,Allele
ZC118-MPRA3-AP1120-26-SI_ref_Barcode_4,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,4,4_ref,ref,ZC118-MPRA3-AP1120-26-SI_ref,AP1120_ref,Small_Intestine_ref,Allele
ZC118-MPRA3-AP1120-26-SI_ref_Barcode_5,Small_Intestine,AAV-PHP-EB,,AP1120,F,ZC118-MPRA3-AP1120-26-SI,Gut,Gut,1,0,5,5_ref,ref,ZC118-MPRA3-AP1120-26-SI_ref,AP1120_ref,Small_Intestine_ref,Allele
