,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,Column_Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_HMC3_ZC2_R_ALT_Barcode_17,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,17,17_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_18,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,18,18_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_19,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,19,19_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_20,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,20,20_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_21,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,21,21_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_22,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,22,22_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_23,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,23,23_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_24,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,24,24_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_25,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,25,25_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
Naive_HMC3_ZC2_R_ALT_Barcode_26,HMC3_Naive,Fugene6,,HMC3,Naive_HMC3_ZC2_R,Immune,HMC3_Microglia,0,0,0,1,0,26,26_ALT,ALT,Naive_HMC3_ZC2_R_ALT,HMC3_ALT,HMC3_Naive_ALT
