,Tissue,Delivery,Date,Animal,Test,Function,Parent,IFNB,IFNG,LPSIFNG,Naive_Macrophage,THP1_Monocytes,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
IFNG_THP1mac_ZC59_R_alt1_Barcode_13,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,13,13alt1,lt1,IFNG_THP1mac_ZC59_R_lt1,Macrophage_lt1,THP1_IFNG_lt1,Allele
IFNG_THP1mac_ZC59_R_alt1_Barcode_14,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,14,14alt1,lt1,IFNG_THP1mac_ZC59_R_lt1,Macrophage_lt1,THP1_IFNG_lt1,Allele
IFNG_THP1mac_ZC59_R_alt1_Barcode_15,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,15,15alt1,lt1,IFNG_THP1mac_ZC59_R_lt1,Macrophage_lt1,THP1_IFNG_lt1,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_1,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,1,1alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_2,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,2,2alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_3,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,3,3alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_4,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,4,4alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_5,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,5,5alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_6,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,6,6alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
IFNG_THP1mac_ZC59_R_alt2_Barcode_7,THP1_IFNG,Nucleofector,,Macrophage,IFNG_THP1mac_ZC59_R,Immune,THP1_Macrophage,0,1,0,0,0,7,7alt2,lt2,IFNG_THP1mac_ZC59_R_lt2,Macrophage_lt2,THP1_IFNG_lt2,Allele
